"CRF_NAME","CRF_LABEL","FIELD_NAME","FIELD_TEXT","FIELD_FORMAT","FIELD_LENGTH","FIELD_DECIML","FIELD_UNITS","FIELD_CODE","FIELD_NOTES"
"ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","SUBSTUDY",NA,"text",NA,NA,NA,NA,NA
"ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","BID",NA,"text",NA,NA,NA,NA,NA
"ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","VISCODE",NA,"text",NA,NA,NA,NA,NA
"ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","DONE","Was assessment/procedure done?","text",NA,NA,NA,NA,NA
"ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","NDREASON","If No, reason not done:","text",NA,NA,NA,NA,NA
"ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","ASMETHOD","Method of Collection:","text",NA,NA,NA,NA,NA
"ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","ASCBOOK","1. In the past 3 months, how well did you balance a credit card statement, pay bills, or use an ATM to make a withdrawal or deposit?","text",NA,NA,NA,NA,NA
"ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","ASTRAVL","2. In the past 3 months, did you drive a car without getting lost, or did you travel to wherever you needed by using public or other transport?","text",NA,NA,NA,NA,NA
"ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","ASAPPLI","3. In the past 3 months, did you use an appliance (for example, a microwave, dishwasher, vacuum cleaner, or TV remote), or did you carry out household repairs?","text",NA,NA,NA,NA,NA
"ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","ASLAUN","4. In the past 3 months, did you do the laundry?","text",NA,NA,NA,NA,NA
"ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","ASPAY","5. In the past 3 months, did you select and pay for items when shopping?","text",NA,NA,NA,NA,NA
"ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","ASSNACK","6. In the past 3 months, did you prepare meals or snacks?","text",NA,NA,NA,NA,NA
"ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","ASTIMES","7. In the past 3 months, how well did you remember important dates and times, such as appointments or meetings?","text",NA,NA,NA,NA,NA
"ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","ASFIND","8. In the past 3 months, did you usually find your personal belongings at home - for example keys, glasses, wallet or books?","text",NA,NA,NA,NA,NA
"ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","ASWDOWN","9. In the past 3 months, how well were you able to write things down so that other people understood them (for example, letters or detailed notes or lists)?","text",NA,NA,NA,NA,NA
"ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","ASMOVIE","10. In the past 3 months, how well did you follow TV programs or movies and remember the details of the story?","text",NA,NA,NA,NA,NA
"ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","ASCEVNT","11. In the past 3 months, how well did you talk about and remember current events that you heard or read about?","text",NA,NA,NA,NA,NA
"ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","ASPHONE","12. In the past 3 months, how well did you make telephone calls, including look up numbers or call directory assistance if necessary?","text",NA,NA,NA,NA,NA
"ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","ASMEDS","13. In the past 3 months, did you take medications regularly - including prescription or over the counter medications?","text",NA,NA,NA,NA,NA
"ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","ASPLAN","14. In the past 3 months, did you plan and organize complex activities for you or for groups of people, for example travel, running errands, participating in group activities (such as religious services), or carrying out hobbies or pastimes?","text",NA,NA,NA,NA,NA
"ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","ASCOMPL","15. In the past 3 months, did you complete complex activities such as hobbies or pastimes, for example playing card games, reading books, gardening?","text",NA,NA,NA,NA,NA
"ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","ASCELL","16. Did you ever use a cellphone or smartphone?","text",NA,NA,NA,NA,NA
"ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","ASCELLUSE","16a. If yes, during the past 3 months, did you use a cellphone or smartphone?","text",NA,NA,NA,NA,NA
"ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","ASCALL","16b.i. Make a call:","text",NA,NA,NA,NA,NA
"ADLPQ","ADCS ADL-Prevention Questionnaire for Participant","ASTEXT","16b.ii. Send a text message:","text",NA,NA,NA,NA,NA
