"FILE_NAME","FILE_LABEL","FIELD_NAME","FIELD_FORMAT","FIELD_DESC","FIELD_CODE"
"ADQS.csv","[Derived] Analysis Data Questionnaire Scores","SUBSTUDY","text",NA,NA
"ADQS.csv","[Derived] Analysis Data Questionnaire Scores","BID","text",NA,NA
"ADQS.csv","[Derived] Analysis Data Questionnaire Scores","VISITCD","text","Visit Code",NA
"ADQS.csv","[Derived] Analysis Data Questionnaire Scores","VISIT","text","Visit",NA
"ADQS.csv","[Derived] Analysis Data Questionnaire Scores","AVISIT","text","Analysis Visit",NA
"ADQS.csv","[Derived] Analysis Data Questionnaire Scores","EPOCH","text","Epoch",NA
"ADQS.csv","[Derived] Analysis Data Questionnaire Scores","QSSEQ","numeric","Sequence Number given to ensure uniqueness of subject records within a domain. May be any valid number.",NA
"ADQS.csv","[Derived] Analysis Data Questionnaire Scores","QSTESTCD","text","Topic variable for QS. Short name for the value in QSTEST, which can be used as a column name when converting the dataset from a vertical format to a horizontal format. The value in QSTESTCD cannot be longer than 8 characters, nor can it start with a number (e.g.”1TEST”). QSTESTCD cannot contain characters other than letters, numbers, or underscores. See QS Terminology Spreadsheet for specific text for QSTESTCD. Examples: ADCCMD01, BPR0103",NA
"ADQS.csv","[Derived] Analysis Data Questionnaire Scores","QSTEST","text","Verbatim name of the question or group of questions used to obtain the measurement or finding. The value in QSTEST cannot be longer than 40 characters. See QS Terminology Spreadsheet for specific text for QSTEST. Example: Fist, BPR01 - Emotional Withdrawal",NA
"ADQS.csv","[Derived] Analysis Data Questionnaire Scores","QSCAT","text","Used to define a category of related records that will be meaningful to the Reviewer. See QS Terminology Spreadsheet for specific text for QSCAT. Examples: ADAS-COG, MDS-UPDRS.",NA
"ADQS.csv","[Derived] Analysis Data Questionnaire Scores","QSVERSION","text","Test version administered.",NA
"ADQS.csv","[Derived] Analysis Data Questionnaire Scores","QSLANG","text","Questionnaire language.",NA
"ADQS.csv","[Derived] Analysis Data Questionnaire Scores","QSSTRESN","numeric","Used for continuous or numeric findings in standard format; copied in numeric format from QSSTRESC. QSSTRESN should store all numeric results or findings.",NA
"ADQS.csv","[Derived] Analysis Data Questionnaire Scores","QSBLRES","numeric","QS Baseline Score",NA
"ADQS.csv","[Derived] Analysis Data Questionnaire Scores","QSCHANGE","numeric","QS Change from Baseline",NA
"ADQS.csv","[Derived] Analysis Data Questionnaire Scores","QSBLSD","numeric","QS Baseline Standard Deviation",NA
"ADQS.csv","[Derived] Analysis Data Questionnaire Scores","QSBLFL","text","Indicator used to identify a baseline value. The value should be “Y” or null.",NA
"ADQS.csv","[Derived] Analysis Data Questionnaire Scores","QSDTC_DAYS_CONSENT","date","Date of questionnaire. registry.EXAMDATE (Derived to days since study consent date)",NA
"ADQS.csv","[Derived] Analysis Data Questionnaire Scores","QSDTC_DAYS_T0","date","Date of questionnaire. registry.EXAMDATE (Derived to days since study start date [A4: Ranomization date | LEARN: Baseline registry exam date])",NA
"ADQS.csv","[Derived] Analysis Data Questionnaire Scores","QSADTC_DAYS_CONSENT","date","Analysis date of questionnaire. registry.EXAMDATE, if it exists, otherwise manually reviewed missing_pacc_dates_verify.EXAMDATE.verify (Derived to days since study consent date)",NA
"ADQS.csv","[Derived] Analysis Data Questionnaire Scores","QSADTC_DAYS_T0","date","Analysis date of questionnaire. registry.EXAMDATE, if it exists, otherwise manually reviewed missing_pacc_dates_verify.EXAMDATE.verify (Derived to days since study start date [A4: Ranomization date | LEARN: Baseline registry exam date])",NA
"ADQS.csv","[Derived] Analysis Data Questionnaire Scores","QSDY","numeric","Study Day of Finding",NA
"ADQS.csv","[Derived] Analysis Data Questionnaire Scores","ADURW","numeric","Study Week of Finding",NA
"ADQS.csv","[Derived] Analysis Data Questionnaire Scores","ASEQMMRM","numeric","Sequence for MMRM, mapped using AVISIT (012->1...066->10)",NA
