"FILE_NAME","FILE_LABEL","FIELD_NAME","FIELD_FORMAT","FIELD_DESC","FIELD_CODE"
"biomarker_AB_Test.csv","Biomarker - Amyloid-β Tests","SUBSTUDY","text",NA,NA
"biomarker_AB_Test.csv","Biomarker - Amyloid-β Tests","BID","text",NA,NA
"biomarker_AB_Test.csv","Biomarker - Amyloid-β Tests","VISCODE","text",NA,NA
"biomarker_AB_Test.csv","Biomarker - Amyloid-β Tests","SAMPLE_ID","text","Sample Identifier",NA
"biomarker_AB_Test.csv","Biomarker - Amyloid-β Tests","LBNAM","text","Laboratory Name",NA
"biomarker_AB_Test.csv","Biomarker - Amyloid-β Tests","LBSPEC","text","Specimen Material Type",NA
"biomarker_AB_Test.csv","Biomarker - Amyloid-β Tests","LBCAT","text","Category for Lab Test",NA
"biomarker_AB_Test.csv","Biomarker - Amyloid-β Tests","LBTESTCD","text","Short Name of Lab Test",NA
"biomarker_AB_Test.csv","Biomarker - Amyloid-β Tests","LBORRES","text","Lab Result","ALQ = ABOVE LIMIT OF QUANTIFICATION ; BLQ = BELOW LIMIT OF QUANTIFICATION ; NOA = NOT ANALYZED; NOR = NO VALID RESULT"
"biomarker_AB_Test.csv","Biomarker - Amyloid-β Tests","LBORRESU","text","Lab Results Units",NA
"biomarker_AB_Test.csv","Biomarker - Amyloid-β Tests","LBMETHOD","text","Method Code for Test ",NA
"biomarker_AB_Test.csv","Biomarker - Amyloid-β Tests","LBREASND","text","Reason Test Not Done",NA
"biomarker_pTau217.csv","Biomarker - pTau-217 Digital Immunoassay ","SUBSTUDY","text",NA,NA
"biomarker_pTau217.csv","Biomarker - pTau-217 Digital Immunoassay ","BID","text",NA,NA
"biomarker_pTau217.csv","Biomarker - pTau-217 Digital Immunoassay ","VISCODE","text",NA,NA
"biomarker_pTau217.csv","Biomarker - pTau-217 Digital Immunoassay ","SAMPLE_ID","text","Sample Identifier",NA
"biomarker_pTau217.csv","Biomarker - pTau-217 Digital Immunoassay ","TESTCD","text","Short Name of Lab Test",NA
"biomarker_pTau217.csv","Biomarker - pTau-217 Digital Immunoassay ","TEST","text","Name of Lab Test",NA
"biomarker_pTau217.csv","Biomarker - pTau-217 Digital Immunoassay ","ORRES","text","Lab Result","<LLOQ = BELOW LIMIT OF QUANTIFICATION ; >ULOQ = ABOVE LIMIT OF QUANTIFICATION"
"biomarker_pTau217.csv","Biomarker - pTau-217 Digital Immunoassay ","ORRESU","text","Lab Results Units",NA
"biomarker_pTau217.csv","Biomarker - pTau-217 Digital Immunoassay ","STAT","text","Completion Status",NA
"biomarker_pTau217.csv","Biomarker - pTau-217 Digital Immunoassay ","REASND","text","Reason Not Done",NA
"biomarker_pTau217.csv","Biomarker - pTau-217 Digital Immunoassay ","NAM","text","Laboratory Name",NA
"biomarker_pTau217.csv","Biomarker - pTau-217 Digital Immunoassay ","SPEC","text","Specimen Material Type",NA
"biomarker_pTau217.csv","Biomarker - pTau-217 Digital Immunoassay ","METHOD","text","Method Code for Test",NA
"biomarker_pTau217.csv","Biomarker - pTau-217 Digital Immunoassay ","COLLECTION_DATE_DAYS_CONSENT","date","Date Specimen Collection (Derived to days since study consent date)",NA
"biomarker_pTau217.csv","Biomarker - pTau-217 Digital Immunoassay ","COLLECTION_DATE_DAYS_T0","date","Date Specimen Collection (Derived to days since study start date [A4: Ranomization date | LEARN: Baseline registry exam date])",NA
"biomarker_pTau217.csv","Biomarker - pTau-217 Digital Immunoassay ","COMMENT","text","Comments if relevant to result",NA
"biomarker_pTau217.csv","Biomarker - pTau-217 Digital Immunoassay ","ORRESRAW","numeric","Lab Result (raw value)",NA
"biomarker_pTau217.csv","Biomarker - pTau-217 Digital Immunoassay ","COMMENT2","text","Comments if relevant to result",NA
"biomarker_Plasma_Roche_Results.csv","Biomarker - Roche Plasma Assay","SUBSTUDY","text",NA,NA
