"SUBSTUDY","VISCODE","VISNAME","VISORDER","ATTRIBS","VISITGROUP"
"A4","001","Visit 1 (Screening)",1,"sc1","Screening"
"A4","002","Visit 2 (Screening PET)",2,"sc2","Screening"
"A4","003","Visit 3 (Screening Disclosure)",3,"sc3","Screening"
"A4","004","Visit 4 (Screening MRI)",4,"sc4","Screening"
"A4","005","Visit 5 (Screening LP)",5,"sc5","Screening"
"A4","006","Visit 6 (Baseline)",6,"bl6","Blinded Treatment / LEARN equivalent A4 visit <= 66"
"A4","007","Visit 7 (wk4 Infusion)",7,"infusion","Blinded Treatment / LEARN equivalent A4 visit <= 66"
"A4","008","Visit 8 (wk8 Infusion)",8,"infusion","Blinded Treatment / LEARN equivalent A4 visit <= 66"
"A4","009","Visit 9 (wk12 Clinic)",9,"w12","Blinded Treatment / LEARN equivalent A4 visit <= 66"
"A4","010","Visit 10 (wk16 Infusion)",10,"infusion","Blinded Treatment / LEARN equivalent A4 visit <= 66"
"A4","011","Visit 11 (wk20 Infusion)",11,"infusion","Blinded Treatment / LEARN equivalent A4 visit <= 66"
"A4","012","Visit 12 (wk24 Clinic)",12,"w24","Blinded Treatment / LEARN equivalent A4 visit <= 66"
"A4","013","Visit 13 (wk28 Infusion)",13,"infusion","Blinded Treatment / LEARN equivalent A4 visit <= 66"
"A4","014","Visit 14 (wk32 Infusion)",14,"infusion","Blinded Treatment / LEARN equivalent A4 visit <= 66"
"A4","015","Visit 15 (wk36 Clinic)",15,"w36","Blinded Treatment / LEARN equivalent A4 visit <= 66"
"A4","016","Visit 16 (wk40 Infusion)",16,"infusion","Blinded Treatment / LEARN equivalent A4 visit <= 66"
"A4","017","Visit 17 (wk44 Infusion)",17,"infusion","Blinded Treatment / LEARN equivalent A4 visit <= 66"
"A4","018","Visit 18 (wk48 Clinic)",18,"w48","Blinded Treatment / LEARN equivalent A4 visit <= 66"
"A4","019","Visit 19 (wk52 Infusion)",19,"infusion","Blinded Treatment / LEARN equivalent A4 visit <= 66"
"A4","020","Visit 20 (wk56 Infusion)",20,"infusion","Blinded Treatment / LEARN equivalent A4 visit <= 66"
